channel,channel_idx,sign,amp_rad,moved_joints(rad),thumb4_dxyz_cm|mag,index4_dxyz_cm|mag,middle4_dxyz_cm|mag,ring4_dxyz_cm|mag,little4_dxyz_cm|mag,max_force_N,arm_drift_rad
thumb1[thumb1_joint],6,+1,0.2,thumb1_joint:-0.199; wrist_3_joint:+0.061,"-0.05,-0.03,-0.92|0.93","+0.10,-0.01,+0.34|0.36","+0.13,-0.02,+0.19|0.23","+0.15,-0.02,+0.05|0.17","+0.20,-0.03,-0.09|0.22",0.0000,0.0611
thumb1[thumb1_joint],6,-1,0.2,thumb1_joint:+0.045,"-0.10,+0.01,+0.54|0.55","-0.04,-0.01,+0.10|0.11","-0.03,-0.01,+0.06|0.07","-0.02,-0.01,+0.03|0.04","-0.01,-0.02,-0.01|0.02",0.0000,0.0154
thumb2[thumb2_joint],7,+1,0.2,thumb2_joint:-0.197; wrist_3_joint:+0.058,"+0.20,+0.60,+0.35|0.72","+0.00,-0.01,+0.33|0.33","+0.06,-0.02,+0.19|0.20","+0.11,-0.02,+0.07|0.13","+0.18,-0.02,-0.06|0.19",0.0000,0.0579
thumb2[thumb2_joint],7,-1,0.2,thumb2_joint:+0.195; wrist_3_joint:+0.050,"-0.53,-0.55,+0.87|1.16","-0.04,-0.01,+0.29|0.29","+0.02,-0.01,+0.17|0.18","+0.08,-0.02,+0.08|0.11","+0.15,-0.02,-0.03|0.15",0.0000,0.0505
thumb3[thumb3_joint],8,+1,0.2,thumb3_joint:+0.201; wrist_3_joint:+0.054,"-0.07,-0.32,-0.03|0.33","-0.08,-0.01,+0.31|0.32","-0.00,-0.01,+0.19|0.19","+0.07,-0.02,+0.09|0.12","+0.17,-0.02,-0.01|0.17",0.0000,0.0541
thumb3[thumb3_joint],8,-1,0.2,thumb3_joint:-0.040; wrist_3_joint:+0.040,"-0.30,+0.07,+0.56|0.64","-0.13,-0.01,+0.21|0.25","-0.07,-0.02,+0.14|0.15","-0.00,-0.02,+0.07|0.07","+0.08,-0.02,+0.00|0.08",0.0000,0.0398
thumb4[thumb4_joint],9,+1,0.2,thumb4_joint:+0.199; wrist_3_joint:+0.047,"-0.31,+0.00,+0.50|0.59","-0.15,-0.01,+0.25|0.29","-0.06,-0.01,+0.16|0.17","+0.02,-0.01,+0.10|0.10","+0.12,-0.01,+0.02|0.13",0.0000,0.0475
thumb4[thumb4_joint],9,-1,0.2,wrist_3_joint:+0.043,"-0.33,+0.00,+0.42|0.54","-0.16,-0.01,+0.21|0.27","-0.08,-0.01,+0.14|0.16","+0.01,-0.01,+0.09|0.09","+0.10,-0.01,+0.03|0.11",0.0000,0.0433
four1[index1_joint&middle1_joint&ring1_joint&little1_joint],10,+1,0.2,ring1_joint:+0.087; middle1_joint:+0.087; little1_joint:+0.087; index1_joint:+0.087; wrist_3_joint:+0.039,"-0.34,+0.00,+0.35|0.49","-0.53,-0.01,-0.30|0.61","-0.36,-0.01,-0.41|0.54","-0.28,-0.01,-0.45|0.53","-0.09,-0.02,-0.53|0.54",0.0000,0.0389
four1[index1_joint&middle1_joint&ring1_joint&little1_joint],10,-1,0.2,index1_joint:-0.088; little1_joint:-0.087; middle1_joint:-0.087; ring1_joint:-0.087; wrist_3_joint:+0.036,"-0.34,+0.01,+0.30|0.45","+0.15,+0.05,+0.66|0.67","+0.14,+0.05,+0.66|0.67","+0.21,+0.05,+0.62|0.66","+0.20,+0.05,+0.62|0.66",0.0000,0.0361
