channel,channel_idx,sign,amp_rad,moved_joints(rad),thumb4_handΔ_cm|mag,index4_handΔ_cm|mag,middle4_handΔ_cm|mag,ring4_handΔ_cm|mag,little4_handΔ_cm|mag,thumb4_worldΔ_cm|mag,index4_worldΔ_cm|mag,middle4_worldΔ_cm|mag,ring4_worldΔ_cm|mag,little4_worldΔ_cm|mag,max_force_N,arm_drift_rad
thumb1[thumb1_joint],6,+1,0.2,thumb1_joint:-0.199; wrist_3_joint:+0.061,"+0.57,+1.55,-0.00|1.65","+0.00,-0.00,+0.00|0.00","+0.00,-0.00,-0.00|0.00","+0.00,-0.00,-0.00|0.00","+0.00,-0.00,-0.00|0.00","-0.07,-0.04,-0.92|0.93","+0.11,-0.01,+0.34|0.36","+0.13,-0.02,+0.18|0.23","+0.16,-0.02,+0.05|0.17","+0.20,-0.03,-0.10|0.22",0.0000,0.0608
thumb1[thumb1_joint],6,-1,0.2,thumb1_joint:+0.045,"-0.09,-0.36,+0.00|0.37","+0.00,+0.00,+0.00|0.00","+0.00,-0.00,-0.00|0.00","+0.00,-0.00,-0.00|0.00","+0.00,-0.00,-0.00|0.00","-0.08,+0.02,+0.54|0.55","-0.04,-0.00,+0.10|0.10","-0.03,-0.01,+0.06|0.07","-0.02,-0.01,+0.03|0.04","-0.01,-0.02,-0.01|0.02",0.0000,0.0151
thumb2[thumb2_joint],7,+1,0.2,thumb2_joint:-0.197; wrist_3_joint:+0.058,"-0.09,+0.40,-0.60|0.73","-0.00,-0.00,-0.00|0.00","+0.00,-0.00,-0.00|0.00","-0.00,-0.00,-0.00|0.00","+0.00,-0.01,-0.00|0.01","+0.21,+0.60,+0.34|0.72","+0.01,-0.01,+0.33|0.33","+0.06,-0.02,+0.19|0.20","+0.11,-0.02,+0.07|0.14","+0.18,-0.03,-0.06|0.19",0.0000,0.0578
thumb2[thumb2_joint],7,-1,0.2,thumb2_joint:+0.195; wrist_3_joint:+0.051,"+0.21,-0.45,+0.55|0.74","-0.00,-0.00,-0.00|0.00","-0.00,-0.00,-0.00|0.00","-0.00,-0.00,-0.00|0.00","+0.00,-0.01,-0.00|0.01","-0.52,-0.54,+0.89|1.16","-0.04,-0.01,+0.29|0.29","+0.02,-0.01,+0.17|0.18","+0.08,-0.02,+0.08|0.11","+0.15,-0.02,-0.03|0.16",0.0000,0.0507
thumb3[thumb3_joint],8,+1,0.2,thumb3_joint:+0.201; wrist_3_joint:+0.054,"+0.33,+0.58,+0.29|0.73","-0.00,-0.00,-0.00|0.00","-0.00,-0.01,-0.00|0.01","-0.00,-0.01,-0.00|0.01","+0.00,-0.01,-0.00|0.01","-0.07,-0.32,-0.03|0.33","-0.07,-0.01,+0.31|0.32","+0.00,-0.01,+0.19|0.19","+0.08,-0.02,+0.09|0.12","+0.17,-0.02,-0.01|0.17",0.0000,0.0544
thumb3[thumb3_joint],8,-1,0.2,thumb3_joint:-0.041; wrist_3_joint:+0.040,"-0.06,-0.14,-0.07|0.17","-0.00,-0.00,-0.00|0.00","-0.00,-0.01,-0.00|0.01","-0.00,-0.01,-0.00|0.01","+0.00,-0.01,-0.00|0.01","-0.29,+0.07,+0.57|0.64","-0.13,-0.01,+0.22|0.25","-0.06,-0.01,+0.14|0.15","+0.00,-0.02,+0.07|0.07","+0.08,-0.02,+0.00|0.08",0.0000,0.0404
thumb4[thumb4_joint],9,+1,0.2,thumb4_joint:+0.199; wrist_3_joint:+0.048,"-0.01,-0.01,-0.01|0.02","-0.00,-0.01,-0.00|0.01","-0.00,-0.01,-0.00|0.01","-0.00,-0.01,-0.00|0.01","+0.00,-0.01,-0.00|0.01","-0.30,+0.01,+0.51|0.59","-0.14,-0.01,+0.26|0.29","-0.05,-0.01,+0.17|0.18","+0.03,-0.01,+0.10|0.10","+0.13,-0.02,+0.02|0.13",0.0000,0.0480
thumb4[thumb4_joint],9,-1,0.2,wrist_3_joint:+0.044,"-0.00,-0.01,-0.00|0.01","-0.00,-0.01,-0.00|0.01","-0.00,-0.01,-0.00|0.01","-0.00,-0.01,-0.00|0.01","+0.00,-0.01,-0.00|0.01","-0.33,+0.01,+0.44|0.55","-0.16,-0.00,+0.22|0.27","-0.07,-0.01,+0.15|0.16","+0.01,-0.01,+0.09|0.09","+0.11,-0.01,+0.03|0.11",0.0000,0.0440
four1[index1_joint&middle1_joint&ring1_joint&little1_joint],10,+1,0.2,ring1_joint:+0.087; middle1_joint:+0.087; little1_joint:+0.087; index1_joint:+0.087; wrist_3_joint:+0.040,"-0.00,-0.01,-0.00|0.01","+0.59,-0.11,-0.03|0.60","+0.60,-0.01,-0.03|0.60","+0.60,-0.01,-0.03|0.60","+0.59,+0.10,-0.03|0.60","-0.33,+0.01,+0.36|0.49","-0.53,-0.00,-0.29|0.61","-0.36,-0.01,-0.40|0.54","-0.28,-0.01,-0.45|0.53","-0.10,-0.02,-0.53|0.54",0.0000,0.0396
