Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0295,0.06951,0.084793,0,0,0,0.074661,4.3676E-05,8.2034E-06,-3.2151E-06,4.4075E-05,-3.5312E-06,7.0477E-05,0,0,0,0,0,0,package://hand2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand2/meshes/base_link.STL,,装配体1.STEP-1/手掌V0接近绝×8.STEP-1;装配体1.STEP-1/零件9_装配体1.STEP-1;装配体1.STEP-1/零件1_装配体1.STEP-1;装配体1.STEP-1/零件10_装配体1.STEP-1;装配体1.STEP-1/单目视觉.STEP-1;装配体1.STEP-1/零件6_装配体1.STEP-1;装配体1.STEP-1/EZO_F694.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-1/基关节支架.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-3/基关节支架.STEP-1;装配体1.STEP-1/手指示意10_16.STEP-1/基关节支架.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/10_1_4_0824K.STEP-2/10-1K_4stage.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/基关节支架.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb1,0.013932,0.0078887,0.014093,0,0,0,0.018501,2.3659E-06,-2.5774E-07,4.4006E-07,3.1449E-06,4.5794E-07,3.7091E-06,0,0,0,0,0,0,package://hand2/meshes/thumb1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand2/meshes/thumb1.STL,,装配体1.STEP-1/拇指回转蜗轮.STEP-1;装配体1.STEP-1/零件2_装配体1.STEP-5;装配体1.STEP-1/拇指回转支架.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/基关节支架.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/零件10_拇指示意.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/零件8_拇指示意.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/10_1_4_0824K.STEP-2/10-1K_4stage.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/指尖霍尔板.STEP-1,坐标系1,基准轴1,thumb1_joint,revolute,0.048861,-0.085319,0.082907,0,0,0,base_link,0,0,-1,10,1,-3.14,3.14,,,,,,,,
thumb2,-8.276E-10,-7.9959E-10,-3.4094E-05,0,0,0,0.0014317,3.4719E-08,1.9309E-11,5.9945E-15,3.4714E-08,-2.9865E-15,3.7863E-08,0,0,0,0,0,0,package://hand2/meshes/thumb2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand2/meshes/thumb2.STL,,装配体1.STEP-1/拇指示意.STEP-1/90-big.stp.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/90-big.stp.STEP-2;装配体1.STEP-1/拇指示意.STEP-1/关节力矩模块.STEP-1/差动V0-2.STEP-1/差动轮系2_GB - Straight bevel pinion 0.6M14PT 14GT 20PA 3FW ---14O1H0MD3.0N.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/关节力矩模块.STEP-1/差动V0-2.STEP-1/差动端盖_GB - Straight bevel pinion 0.6M14PT 14GT 20PA 3FW ---14O1H0MD3.0N.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/零件3_拇指示意.STEP-1,坐标系2,基准轴2,thumb2_joint,revolute,0.04793,0.011792,0.0034772,0.62923,-0.95066,1.164,thumb1,0,0,-1,10,1,-3.14,3.14,,,,,,,,
thumb3,-0.0017268,-0.023425,0.00037486,0,0,0,0.006776,7.2715E-07,1.4292E-08,5.5164E-09,2.3221E-07,4.2168E-09,7.0752E-07,0,0,0,0,0,0,package://hand2/meshes/thumb3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand2/meshes/thumb3.STL,,装配体1.STEP-1/拇指示意.STEP-1/拇指近指节2.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/关节力矩模块.STEP-1/锥齿轮_固定.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/关节力矩模块.STEP-1/锥齿轮_固定.STEP-2;装配体1.STEP-1/拇指示意.STEP-1/零件12_拇指示意.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/拇指后壳.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/近指节_16_18 V1.STEP-1/Copy of 零件3_近指节_16_18 V1.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/拇指近指节1.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/近指节_16_18 V1.STEP-1/Copy of Copy of 零件1_近指节_16_18.STEP-1,坐标系3,基准轴3,thumb3_joint,revolute,0,0,0,3.1416,-1.5708,0,thumb2,0,0,-1,10,1,-3.14,3.14,,,,,,,,
thumb4,0.019018,-0.0011009,9.7741E-05,0,0,0,0.0091015,4.6291E-07,-8.3126E-08,-4.9843E-08,9.025E-07,-1.3239E-08,6.7835E-07,0,0,0,0,0,0,package://hand2/meshes/thumb4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand2/meshes/thumb4.STL,,装配体1.STEP-1/拇指示意.STEP-1/拇指指尖1.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/拇指指尖2.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/零件13_拇指示意.STEP-1;装配体1.STEP-1/拇指示意.STEP-1/指尖26mm PX6AX-GEN3-DP-M2826-Omega PXSR-STDDP03B.stp.STEP-1,坐标系4,基准轴4,thumb4_hoint,revolute,-0.00057142,-0.036717,-0.00046,0,0,-1.5708,thumb3,0,0,-1,10,1,-3.14,3.14,,,,,,,,
index1,1.0674E-09,7.1185E-09,4.4165E-05,0,0,0,0.0014418,3.5899E-08,2.1239E-11,-1.3646E-15,3.589E-08,2.462E-15,3.7895E-08,0,0,0,0,0,0,package://hand2/meshes/index1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand2/meshes/index1.STL,,装配体1.STEP-1/手指示意10_16-2.STEP-2/关节力矩模块V0-2.STEP-1/差动V0-3.STEP-1/差动端盖_GB - Straight bevel pinion 0.6M14PT 14GT 20PA 3FW ---14O1H0MD3.0N.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/装配体1_手指示意10_16.STEP-1/90-big.stp.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/90-big.stp.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/关节力矩模块V0-2.STEP-1/差动V0-3.STEP-1/差动轮系2_GB - Straight bevel pinion 0.6M14PT 14GT 20PA 3FW ---14O1H0MD3.0N.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/零件3_手指示意10_16.STEP-1,坐标系5,基准轴5,index1_joint,revolute,0.065353,-0.083414,0.014156,-1.5708,0,-2.9671,base_link,0,0,-1,10,1,-3.14,3.14,,,,,,,,
index2,0.00054745,-0.028315,0.00052772,0,0,0,0.005761,5.9612E-07,3.5547E-08,4.6621E-09,2.5712E-07,-1.1762E-08,6.1312E-07,0,0,0,0,0,0,package://hand2/meshes/index2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand2/meshes/index2.STL,,装配体1.STEP-1/手指示意10_16-2.STEP-2/关节力矩模块V0-2.STEP-1/力矩连接部分X0.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/Copy of 零件3_近指节_16_18 V0.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/手指近指节2.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/零件12_手指示意10_16.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/手指近指节1.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/Copy of Copy of 零件1_近指节_16_18.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/23_GB - Spur gear 0.3M 14T 20PA 1.8FW ---S14A75H50L2.0N.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/铜轴套2.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/关节力矩模块V0-2.STEP-1/锥齿轮_固定手指.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/关节力矩模块V0-2.STEP-1/锥齿轮_固定手指.STEP-2,坐标系6,基准轴6,index2_joint,revolute,0,0,0,0,-1.5708,0,index1,0,0,-1,10,1,-3.14,3.14,,,,,,,,
index3,0.0011544,-0.013424,-0.00066574,0,0,0,0.0019692,1.0263E-07,6.8191E-09,9.1704E-13,5.1594E-08,4.0512E-09,1.2761E-07,0,0,0,0,0,0,package://hand2/meshes/index3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand2/meshes/index3.STL,,装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/中指节左.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/中指节右.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/零件12_近指节_16_18 V0.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/指尖霍尔板(背).STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节1.STEP-1/近指节1.step.STEP-1/Board_3.step.STEP-1/Open CASCADE STEP translator 6.8 4.1.1.step.STEP-1,坐标系7,基准轴7,index3_joint,revolute,-0.0005,-0.044694,-1.0001E-05,0,0,0,index2,0,0,-1,10,1,-3.14,3.14,,,,,,,,
index4,-0.0035148,-0.012074,0.00019625,0,0,0,0.0024924,1.0917E-07,1.621E-08,8.0039E-10,5.3716E-08,-1.7731E-09,9.4705E-08,0,0,0,0,0,0,package://hand2/meshes/index4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand2/meshes/index4.STL,,装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/指尖V0.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/指尖15mm PX6AX-GEN3-DP-S2015-Elite PXSR-STDDP03G.stp.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/指尖销.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-2/近指节_16_18 V0-2.STEP-1/零件13_近指节_16_18 V0.STEP-1,坐标系8,基准轴8,index4_joint,revolute,0.0023837,-0.023881,0,0,0,0,index3,0,0,-1,10,1,-3.14,3.14,,,,,,,,
middle1,-2.8506E-10,-7.6724E-11,4.417E-05,0,0,0,0.0014418,3.5899E-08,2.1236E-11,-1.0129E-15,3.589E-08,3.1958E-17,3.7895E-08,0,0,0,0,0,0,package://hand2/meshes/middle1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://hand2/meshes/middle1.STL,,装配体1.STEP-1/手指示意10_16-2.STEP-1/90-big.stp.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-1/关节力矩模块V0-2.STEP-1/差动V0-3.STEP-1/差动端盖_GB - Straight bevel pinion 0.6M14PT 14GT 20PA 3FW ---14O1H0MD3.0N.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-1/关节力矩模块V0-2.STEP-1/差动V0-3.STEP-1/差动轮系2_GB - Straight bevel pinion 0.6M14PT 14GT 20PA 3FW ---14O1H0MD3.0N.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-1/装配体1_手指示意10_16.STEP-1/90-big.stp.STEP-1;装配体1.STEP-1/手指示意10_16-2.STEP-1/零件3_手指示意10_16.STEP-1,坐标系9,基准轴9,middle1_joint,revolute,0.039195,-0.085379,0.0075839,1.5708,0,0,base_link,0,0,-1,10,1,-3.14,3.14,,,,,,,,
